Customer,Date,Product_weight,Product_price,Gender,Branch/Locker,Location,InvoiceId
RXZ350571,2022-09-01,4.4,24200.000000000004,M,G-Location 1,Yerevan,INV-101
ZFZ316415,2022-09-01,5.86,35160.0,M,G-Location 2,Yerevan,INV-102
KPR936365,2022-09-01,3.76,30080.0,M,G-Location 2,Yerevan,INV-103
PBI351070,2022-09-01,2.74,21920.0,F,G-Location 3,Yerevan,INV-104
RFI100548,2022-09-01,5.99,35940.0,M,G-Location 2,Yerevan,INV-105
MHJ854461,2022-09-01,1.73,4325.0,M,G-Location 3,Yerevan,INV-106
VLP635285,2022-09-01,5.4,10800.0,F,G-Location 2,Yerevan,INV-107
NUZ596095,2022-09-01,7.28,36400.0,F,G-Location 2,Yerevan,INV-108
OCA922132,2022-09-01,7.71,61680.0,F,G-Location 5,Yerevan,INV-109
AYD440566,2022-09-01,7.76,15520.0,M,G-Location 3,Yerevan,INV-110
VDY688455,2022-09-01,1.58,8690.0,F,G-Location 5,Yerevan,INV-111
QTG656269,2022-09-01,3.38,8450.0,M,G-Location 4,Yerevan,INV-112
ZAB368134,2022-09-01,5.86,46880.0,F,G-Location 1,Yerevan,INV-113
RHV777431,2022-09-01,2.02,16160.0,M,G-Location 1,Yerevan,INV-114
PZE355855,2022-09-01,5.56,11120.0,M,G-Location 2,Yerevan,INV-115
JNC848855,2022-09-01,5.38,13450.0,M,G-Location 3,Yerevan,INV-116
GZR758077,2022-09-01,7.82,50830.0,M,G-Location 2,Yerevan,INV-117
TJX587527,2022-09-01,1.37,6850.000000000001,M,G-Location 1,Yerevan,INV-118
OUI196473,2022-09-01,4.29,27885.0,M,G-Location 1,Yerevan,INV-119
XDK579789,2022-09-01,6.06,30300.0,F,G-Location 2,Yerevan,INV-120
PKF240886,2022-09-01,3.32,18260.0,F,G-Location 4,Yerevan,INV-121
NRE560548,2022-09-01,3.42,22230.0,F,G-Location 3,Yerevan,INV-122
RAF508711,2022-09-01,1.96,3920.0,M,G-Location 3,Yerevan,INV-123
WAF162416,2022-09-01,1.81,4525.0,F,G-Location 5,Yerevan,INV-124
VBA611599,2022-09-01,6.51,16275.0,F,G-Location 5,Yerevan,INV-125
YDP844301,2022-09-01,1.05,6825.0,M,G-Location 1,Yerevan,INV-126
HTL643498,2022-09-01,2.12,5300.0,F,G-Location 3,Yerevan,INV-127
QHY996856,2022-09-01,2.82,7050.0,M,G-Location 1,Yerevan,INV-128
CAB511833,2022-09-01,1.55,10075.0,M,G-Location 3,Yerevan,INV-129
DUT720889,2022-09-01,7.92,51480.0,M,G-Location 2,Yerevan,INV-130
GLB429129,2022-09-01,0.72,1440.0,F,G-Location 3,Yerevan,INV-131
JWQ865011,2022-09-01,2.67,5340.0,F,G-Location 5,Yerevan,INV-132
TFS265734,2022-09-01,6.02,30100.0,F,G-Location 1,Yerevan,INV-133
SHR840225,2022-09-01,2.38,19040.0,M,G-Location 4,Yerevan,INV-134
EWY776547,2022-09-01,0.79,6320.0,F,G-Location 4,Yerevan,INV-135
QUG120466,2022-09-01,2.35,4700.0,F,G-Location 3,Yerevan,INV-136
NZN465129,2022-09-01,2.63,5260.0,F,G-Location 3,Yerevan,INV-137
GUS776209,2022-09-01,2.22,4440.0,M,G-Location 2,Yerevan,INV-138
PBS884989,2022-09-01,1.71,11115.0,M,G-Location 2,Yerevan,INV-139
ECZ911304,2022-09-01,3.95,23700.0,M,G-Location 1,Yerevan,INV-140
NNA291882,2022-09-01,2.22,4440.0,F,G-Location 1,Yerevan,INV-141
DVY243173,2022-09-01,1.31,3275.0,F,G-Location 1,Yerevan,INV-142
AQJ912238,2022-09-01,3.3,16500.0,F,G-Location 2,Yerevan,INV-143
CVG737617,2022-09-01,2.34,11700.0,M,G-Location 3,Yerevan,INV-144
QCL821581,2022-09-01,7.33,18325.0,M,G-Location 3,Yerevan,INV-145
JBF765011,2022-09-01,5.79,11580.0,M,G-Location 5,Yerevan,INV-146
